"location","date","vaccine","total_vaccinations","id"
"Argentina","2021-01-21","Pfizer/BioNTech",2,104
"Argentina","2021-01-21","Sinopharm/Beijing",22,105
"Argentina","2021-01-21","Sputnik V",289645,106
"Argentina","2021-01-22","Moderna",2,107
"Argentina","2021-01-22","Oxford/AstraZeneca",20,108
"Argentina","2021-01-22","Pfizer/BioNTech",2,109
"Argentina","2021-01-22","Sinopharm/Beijing",23,110
"Argentina","2021-01-22","Sputnik V",298858,111
"Argentina","2021-01-23","Moderna",2,112
"Argentina","2021-01-23","Oxford/AstraZeneca",25,113
"Argentina","2021-01-23","Pfizer/BioNTech",2,114
"Argentina","2021-01-23","Sinopharm/Beijing",23,115
"Argentina","2021-01-23","Sputnik V",302797,116
"Argentina","2021-01-24","Moderna",2,117
"Argentina","2021-01-24","Oxford/AstraZeneca",26,118
"Argentina","2021-01-24","Pfizer/BioNTech",2,119
"Argentina","2021-01-24","Sinopharm/Beijing",23,120
"Argentina","2021-01-24","Sputnik V",303099,121
"Argentina","2021-01-25","Moderna",2,122
"Argentina","2021-01-25","Oxford/AstraZeneca",34,123
"Argentina","2021-01-25","Pfizer/BioNTech",2,124
"Argentina","2021-01-25","Sinopharm/Beijing",23,125
"Argentina","2021-01-25","Sputnik V",317301,126
"Argentina","2021-01-26","Moderna",2,127
"Argentina","2021-01-26","Oxford/AstraZeneca",72,128
"Argentina","2021-01-26","Pfizer/BioNTech",2,129
"Argentina","2021-01-26","Sinopharm/Beijing",24,130
"Argentina","2021-01-26","Sputnik V",330070,131
"Argentina","2021-01-27","Moderna",2,132
"Argentina","2021-01-27","Oxford/AstraZeneca",74,133
"Argentina","2021-01-27","Pfizer/BioNTech",2,134
"Argentina","2021-01-27","Sinopharm/Beijing",24,135
"Argentina","2021-01-27","Sputnik V",340173,136
"Argentina","2021-01-28","Moderna",2,137
"Argentina","2021-01-28","Oxford/AstraZeneca",74,138
"Argentina","2021-01-28","Pfizer/BioNTech",2,139
"Argentina","2021-01-28","Sinopharm/Beijing",24,140
"Argentina","2021-01-28","Sputnik V",356222,141
"Argentina","2021-01-29","Moderna",2,142
"Argentina","2021-01-29","Oxford/AstraZeneca",75,143
"Argentina","2021-01-29","Pfizer/BioNTech",2,144
"Argentina","2021-01-29","Sinopharm/Beijing",24,145
"Argentina","2021-01-29","Sputnik V",379719,146
"Argentina","2021-01-30","Moderna",2,147
"Argentina","2021-01-30","Oxford/AstraZeneca",75,148
"Argentina","2021-01-30","Pfizer/BioNTech",2,149
"Argentina","2021-01-30","Sinopharm/Beijing",24,150
"Argentina","2021-01-30","Sputnik V",389031,151
"Argentina","2021-01-31","Moderna",2,152
"Argentina","2021-01-31","Oxford/AstraZeneca",75,153
"Argentina","2021-01-31","Pfizer/BioNTech",2,154
"Argentina","2021-01-31","Sinopharm/Beijing",25,155
"Argentina","2021-01-31","Sputnik V",389653,156
"Argentina","2021-02-01","Moderna",2,157
"Argentina","2021-02-01","Oxford/AstraZeneca",93,158
"Argentina","2021-02-01","Pfizer/BioNTech",2,159
"Argentina","2021-02-01","Sinopharm/Beijing",25,160
"Argentina","2021-02-01","Sputnik V",409157,161
"Argentina","2021-02-02","Moderna",2,162
"Argentina","2021-02-02","Oxford/AstraZeneca",126,163
"Argentina","2021-02-02","Pfizer/BioNTech",2,164
"Argentina","2021-02-02","Sinopharm/Beijing",25,165
"Argentina","2021-02-02","Sputnik V",432996,166
"Argentina","2021-02-03","Moderna",2,167
"Argentina","2021-02-03","Oxford/AstraZeneca",134,168
"Argentina","2021-02-03","Pfizer/BioNTech",2,169
"Argentina","2021-02-03","Sinopharm/Beijing",28,170
"Argentina","2021-02-03","Sputnik V",459593,171
"Argentina","2021-02-04","Moderna",2,172
"Argentina","2021-02-04","Oxford/AstraZeneca",139,173
"Argentina","2021-02-04","Pfizer/BioNTech",2,174
"Argentina","2021-02-04","Sinopharm/Beijing",51,175
"Argentina","2021-02-04","Sputnik V",487685,176
"Argentina","2021-02-05","CanSino",2,177
"Argentina","2021-02-05","Moderna",2,178
"Argentina","2021-02-05","Oxford/AstraZeneca",144,179
"Argentina","2021-02-05","Pfizer/BioNTech",2,180
"Argentina","2021-02-05","Sinopharm/Beijing",58,181
"Argentina","2021-02-05","Sputnik V",520697,182
"Argentina","2021-02-06","CanSino",2,183
"Argentina","2021-02-06","Moderna",2,184
"Argentina","2021-02-06","Oxford/AstraZeneca",144,185
"Argentina","2021-02-06","Pfizer/BioNTech",2,186
"Argentina","2021-02-06","Sinopharm/Beijing",62,187
"Argentina","2021-02-06","Sputnik V",531617,188
"Argentina","2021-02-07","CanSino",2,189
"Argentina","2021-02-07","Moderna",2,190
"Argentina","2021-02-07","Oxford/AstraZeneca",144,191
"Argentina","2021-02-07","Pfizer/BioNTech",2,192
"Argentina","2021-02-07","Sinopharm/Beijing",66,193
"Argentina","2021-02-07","Sputnik V",532996,194
"Argentina","2021-02-08","CanSino",2,195
"Argentina","2021-02-08","Moderna",2,196
"Argentina","2021-02-08","Oxford/AstraZeneca",146,197
"Argentina","2021-02-08","Pfizer/BioNTech",2,198
"Argentina","2021-02-08","Sinopharm/Beijing",67,199
"Argentina","2021-02-08","Sputnik V",556410,200
"Argentina","2021-02-09","CanSino",2,201
"Argentina","2021-02-09","Moderna",2,202
"Argentina","2021-02-09","Oxford/AstraZeneca",148,203
"Argentina","2021-02-09","Pfizer/BioNTech",2,204
"Argentina","2021-02-09","Sinopharm/Beijing",73,205
"Argentina","2021-02-09","Sputnik V",576598,206
"Argentina","2021-02-10","CanSino",2,207
"Argentina","2021-02-10","Moderna",2,208
"Argentina","2021-02-10","Oxford/AstraZeneca",151,209
"Argentina","2021-02-10","Pfizer/BioNTech",2,210
"Argentina","2021-02-10","Sinopharm/Beijing",78,211
"Argentina","2021-02-10","Sputnik V",592211,212
"Argentina","2021-02-11","CanSino",2,213
"Argentina","2021-02-11","Moderna",2,214
"Argentina","2021-02-11","Oxford/AstraZeneca",154,215
"Argentina","2021-02-11","Pfizer/BioNTech",2,216
"Argentina","2021-02-11","Sinopharm/Beijing",84,217
"Argentina","2021-02-11","Sputnik V",610053,218
"Argentina","2021-02-12","CanSino",2,219
"Argentina","2021-02-12","Moderna",2,220
"Argentina","2021-02-12","Oxford/AstraZeneca",155,221
"Argentina","2021-02-12","Pfizer/BioNTech",2,222
"Argentina","2021-02-12","Sinopharm/Beijing",85,223
"Argentina","2021-02-12","Sputnik V",625880,224
"Argentina","2021-02-13","CanSino",2,225
"Argentina","2021-02-13","Moderna",2,226
"Argentina","2021-02-13","Oxford/AstraZeneca",157,227
"Argentina","2021-02-13","Pfizer/BioNTech",2,228
"Argentina","2021-02-13","Sinopharm/Beijing",87,229
"Argentina","2021-02-13","Sputnik V",628912,230
"Argentina","2021-02-14","CanSino",2,231
"Argentina","2021-02-14","Moderna",2,232
"Argentina","2021-02-14","Oxford/AstraZeneca",157,233
"Argentina","2021-02-14","Pfizer/BioNTech",2,234
"Argentina","2021-02-14","Sinopharm/Beijing",89,235
"Argentina","2021-02-14","Sputnik V",629062,236
"Argentina","2021-02-15","CanSino",2,237
"Argentina","2021-02-15","Moderna",2,238
"Argentina","2021-02-15","Oxford/AstraZeneca",157,239
"Argentina","2021-02-15","Pfizer/BioNTech",2,240
"Argentina","2021-02-15","Sinopharm/Beijing",91,241
"Argentina","2021-02-15","Sputnik V",630375,242
"Argentina","2021-02-16","CanSino",2,243
"Argentina","2021-02-16","Moderna",2,244
"Argentina","2021-02-16","Oxford/AstraZeneca",169,245
"Argentina","2021-02-16","Pfizer/BioNTech",2,246
"Argentina","2021-02-16","Sinopharm/Beijing",93,247
"Argentina","2021-02-16","Sputnik V",631672,248
"Argentina","2021-02-17","CanSino",2,249
"Argentina","2021-02-17","Moderna",2,250
"Argentina","2021-02-17","Oxford/AstraZeneca",180,251
"Argentina","2021-02-17","Pfizer/BioNTech",2,252
"Argentina","2021-02-17","Sinopharm/Beijing",96,253
"Argentina","2021-02-17","Sputnik V",656045,254
"Argentina","2021-02-18","CanSino",2,255
"Argentina","2021-02-18","Moderna",2,256
"Argentina","2021-02-18","Oxford/AstraZeneca",211,257
"Argentina","2021-02-18","Pfizer/BioNTech",2,258
"Argentina","2021-02-18","Sinopharm/Beijing",100,259
"Argentina","2021-02-18","Sputnik V",719822,260
"Argentina","2021-02-19","CanSino",2,261
"Argentina","2021-02-19","Moderna",2,262
"Argentina","2021-02-19","Oxford/AstraZeneca",394,263
"Argentina","2021-02-19","Pfizer/BioNTech",2,264
"Argentina","2021-02-19","Sinopharm/Beijing",100,265
"Argentina","2021-02-19","Sputnik V",787511,266
"Argentina","2021-02-20","CanSino",2,267
"Argentina","2021-02-20","Moderna",2,268
"Argentina","2021-02-20","Oxford/AstraZeneca",542,269
"Argentina","2021-02-20","Pfizer/BioNTech",2,270
"Argentina","2021-02-20","Sinopharm/Beijing",101,271
"Argentina","2021-02-20","Sputnik V",819977,272
"Argentina","2021-02-21","CanSino",2,273
"Argentina","2021-02-21","Moderna",2,274
"Argentina","2021-02-21","Oxford/AstraZeneca",941,275
"Argentina","2021-02-21","Pfizer/BioNTech",2,276
"Argentina","2021-02-21","Sinopharm/Beijing",101,277
"Argentina","2021-02-21","Sputnik V",839753,278
"Argentina","2021-02-22","CanSino",2,279
"Argentina","2021-02-22","Moderna",2,280
"Argentina","2021-02-22","Oxford/AstraZeneca",23516,281
"Argentina","2021-02-22","Pfizer/BioNTech",2,282
"Argentina","2021-02-22","Sinopharm/Beijing",101,283
"Argentina","2021-02-22","Sputnik V",884714,284
"Argentina","2021-02-23","CanSino",2,285
"Argentina","2021-02-23","Moderna",2,286
"Argentina","2021-02-23","Oxford/AstraZeneca",73692,287
"Argentina","2021-02-23","Pfizer/BioNTech",2,288
"Argentina","2021-02-23","Sinopharm/Beijing",103,289
"Argentina","2021-02-23","Sputnik V",921468,290
"Argentina","2021-02-24","CanSino",2,291
"Argentina","2021-02-24","Moderna",2,292
"Argentina","2021-02-24","Oxford/AstraZeneca",135734,293
"Argentina","2021-02-24","Pfizer/BioNTech",2,294
"Argentina","2021-02-24","Sinopharm/Beijing",106,295
"Argentina","2021-02-24","Sputnik V",953203,296
"Argentina","2021-02-25","CanSino",2,297
"Argentina","2021-02-25","Moderna",58,298
"Argentina","2021-02-25","Oxford/AstraZeneca",188865,299
"Argentina","2021-02-25","Pfizer/BioNTech",2,300
"Argentina","2021-02-25","Sinopharm/Beijing",110,301
"Argentina","2021-02-25","Sputnik V",979500,302
"Argentina","2021-02-26","CanSino",2,303
"Argentina","2021-02-26","Moderna",58,304
"Argentina","2021-02-26","Oxford/AstraZeneca",244896,305
"Argentina","2021-02-26","Pfizer/BioNTech",2,306
"Argentina","2021-02-26","Sinopharm/Beijing",119,307
"Argentina","2021-02-26","Sputnik V",1005121,308
"Argentina","2021-02-27","CanSino",2,309
"Argentina","2021-02-27","Moderna",58,310
"Argentina","2021-02-27","Oxford/AstraZeneca",258225,311
"Argentina","2021-02-27","Pfizer/BioNTech",2,312
"Argentina","2021-02-27","Sinopharm/Beijing",120,313
"Argentina","2021-02-27","Sputnik V",1009675,314
"Argentina","2021-02-28","CanSino",2,315
"Argentina","2021-02-28","Moderna",58,316
