"location","date","vaccine","total_vaccinations","id"
"France","2021-05-03","Pfizer/BioNTech",17259531,10082
"France","2021-05-04","Johnson&Johnson",79230,10083
"France","2021-05-04","Moderna",1993731,10084
"France","2021-05-04","Oxford/AstraZeneca",4087087,10085
"France","2021-05-04","Pfizer/BioNTech",17713270,10086
"France","2021-05-05","Johnson&Johnson",85416,10087
"France","2021-05-05","Moderna",2041509,10088
"France","2021-05-05","Oxford/AstraZeneca",4116418,10089
"France","2021-05-05","Pfizer/BioNTech",18182853,10090
"France","2021-05-06","Johnson&Johnson",96805,10091
"France","2021-05-06","Moderna",2100406,10092
"France","2021-05-06","Oxford/AstraZeneca",4171906,10093
"France","2021-05-06","Pfizer/BioNTech",18677260,10094
"France","2021-05-07","Johnson&Johnson",115930,10095
"France","2021-05-07","Moderna",2159025,10096
"France","2021-05-07","Oxford/AstraZeneca",4244496,10097
"France","2021-05-07","Pfizer/BioNTech",19157890,10098
"France","2021-05-08","Johnson&Johnson",118312,10099
"France","2021-05-08","Moderna",2190111,10100
"France","2021-05-08","Oxford/AstraZeneca",4260141,10101
"France","2021-05-08","Pfizer/BioNTech",19398212,10102
"France","2021-05-09","Johnson&Johnson",119000,10103
"France","2021-05-09","Moderna",2211141,10104
"France","2021-05-09","Oxford/AstraZeneca",4264583,10105
"France","2021-05-09","Pfizer/BioNTech",19548489,10106
"France","2021-05-10","Johnson&Johnson",126242,10107
"France","2021-05-10","Moderna",2266287,10108
"France","2021-05-10","Oxford/AstraZeneca",4292126,10109
"France","2021-05-10","Pfizer/BioNTech",20001707,10110
"France","2021-05-11","Johnson&Johnson",140566,10111
"France","2021-05-11","Moderna",2331029,10112
"France","2021-05-11","Oxford/AstraZeneca",4344947,10113
"France","2021-05-11","Pfizer/BioNTech",20532970,10114
"France","2021-05-12","Johnson&Johnson",150739,10115
"France","2021-05-12","Moderna",2401078,10116
"France","2021-05-12","Oxford/AstraZeneca",4389661,10117
"France","2021-05-12","Pfizer/BioNTech",21076599,10118
"France","2021-05-13","Johnson&Johnson",152320,10119
"France","2021-05-13","Moderna",2458155,10120
"France","2021-05-13","Oxford/AstraZeneca",4395414,10121
"France","2021-05-13","Pfizer/BioNTech",21408093,10122
"France","2021-05-14","Johnson&Johnson",160081,10123
"France","2021-05-14","Moderna",2532547,10124
"France","2021-05-14","Oxford/AstraZeneca",4435641,10125
"France","2021-05-14","Pfizer/BioNTech",21908089,10126
"France","2021-05-15","Johnson&Johnson",163804,10127
"France","2021-05-15","Moderna",2605645,10128
"France","2021-05-15","Oxford/AstraZeneca",4463621,10129
"France","2021-05-15","Pfizer/BioNTech",22272605,10130
"France","2021-05-16","Johnson&Johnson",164222,10131
"France","2021-05-16","Moderna",2651802,10132
"France","2021-05-16","Oxford/AstraZeneca",4467270,10133
"France","2021-05-16","Pfizer/BioNTech",22446028,10134
"France","2021-05-17","Johnson&Johnson",168702,10135
"France","2021-05-17","Moderna",2709224,10136
"France","2021-05-17","Oxford/AstraZeneca",4495143,10137
"France","2021-05-17","Pfizer/BioNTech",22882644,10138
"France","2021-05-18","Johnson&Johnson",177460,10139
"France","2021-05-18","Moderna",2776288,10140
"France","2021-05-18","Oxford/AstraZeneca",4538182,10141
"France","2021-05-18","Pfizer/BioNTech",23378766,10142
"France","2021-05-19","Johnson&Johnson",183156,10143
"France","2021-05-19","Moderna",2844328,10144
"France","2021-05-19","Oxford/AstraZeneca",4579175,10145
"France","2021-05-19","Pfizer/BioNTech",23878733,10146
"France","2021-05-20","Johnson&Johnson",192639,10147
"France","2021-05-20","Moderna",2918880,10148
"France","2021-05-20","Oxford/AstraZeneca",4645162,10149
"France","2021-05-20","Pfizer/BioNTech",24398566,10150
"France","2021-05-21","Johnson&Johnson",205453,10151
"France","2021-05-21","Moderna",2995038,10152
"France","2021-05-21","Oxford/AstraZeneca",4723407,10153
"France","2021-05-21","Pfizer/BioNTech",24897198,10154
"France","2021-05-22","Johnson&Johnson",210522,10155
"France","2021-05-22","Moderna",3061084,10156
"France","2021-05-22","Oxford/AstraZeneca",4761639,10157
"France","2021-05-22","Pfizer/BioNTech",25215456,10158
"France","2021-05-23","Johnson&Johnson",211020,10159
"France","2021-05-23","Moderna",3099205,10160
"France","2021-05-23","Oxford/AstraZeneca",4764954,10161
"France","2021-05-23","Pfizer/BioNTech",25349810,10162
"France","2021-05-24","Johnson&Johnson",212077,10163
"France","2021-05-24","Moderna",3118506,10164
"France","2021-05-24","Oxford/AstraZeneca",4770753,10165
"France","2021-05-24","Pfizer/BioNTech",25620562,10166
"France","2021-05-25","Johnson&Johnson",219710,10167
"France","2021-05-25","Moderna",3152072,10168
"France","2021-05-25","Oxford/AstraZeneca",4821225,10169
"France","2021-05-25","Pfizer/BioNTech",26120370,10170
"France","2021-05-26","Johnson&Johnson",227446,10171
"France","2021-05-26","Moderna",3183678,10172
"France","2021-05-26","Oxford/AstraZeneca",4877235,10173
"France","2021-05-26","Pfizer/BioNTech",26628779,10174
"France","2021-05-27","Johnson&Johnson",241810,10175
"France","2021-05-27","Moderna",3219513,10176
"France","2021-05-27","Oxford/AstraZeneca",4961362,10177
"France","2021-05-27","Pfizer/BioNTech",27164755,10178
"France","2021-05-28","Johnson&Johnson",268473,10179
"France","2021-05-28","Moderna",3264039,10180
"France","2021-05-28","Oxford/AstraZeneca",5067952,10181
"France","2021-05-28","Pfizer/BioNTech",27677659,10182
"France","2021-05-29","Johnson&Johnson",279872,10183
"France","2021-05-29","Moderna",3302682,10184
"France","2021-05-29","Oxford/AstraZeneca",5131547,10185
"France","2021-05-29","Pfizer/BioNTech",28012819,10186
"France","2021-05-30","Johnson&Johnson",280848,10187
"France","2021-05-30","Moderna",3309148,10188
"France","2021-05-30","Oxford/AstraZeneca",5140324,10189
"France","2021-05-30","Pfizer/BioNTech",28136438,10190
"France","2021-05-31","Johnson&Johnson",293553,10191
"France","2021-05-31","Moderna",3356633,10192
"France","2021-05-31","Oxford/AstraZeneca",5178692,10193
"France","2021-05-31","Pfizer/BioNTech",28600717,10194
"France","2021-06-01","Johnson&Johnson",313846,10195
"France","2021-06-01","Moderna",3422583,10196
"France","2021-06-01","Oxford/AstraZeneca",5246852,10197
"France","2021-06-01","Pfizer/BioNTech",29130193,10198
"France","2021-06-02","Johnson&Johnson",328393,10199
"France","2021-06-02","Moderna",3479520,10200
"France","2021-06-02","Oxford/AstraZeneca",5307883,10201
"France","2021-06-02","Pfizer/BioNTech",29649355,10202
"France","2021-06-03","Johnson&Johnson",347823,10203
"France","2021-06-03","Moderna",3554288,10204
"France","2021-06-03","Oxford/AstraZeneca",5398875,10205
"France","2021-06-03","Pfizer/BioNTech",30188469,10206
"France","2021-06-04","Johnson&Johnson",370375,10207
"France","2021-06-04","Moderna",3644061,10208
"France","2021-06-04","Oxford/AstraZeneca",5508061,10209
"France","2021-06-04","Pfizer/BioNTech",30728842,10210
"France","2021-06-05","Johnson&Johnson",380119,10211
"France","2021-06-05","Moderna",3702735,10212
"France","2021-06-05","Oxford/AstraZeneca",5562265,10213
"France","2021-06-05","Pfizer/BioNTech",31100536,10214
"France","2021-06-06","Johnson&Johnson",381156,10215
"France","2021-06-06","Moderna",3713891,10216
"France","2021-06-06","Oxford/AstraZeneca",5568161,10217
"France","2021-06-06","Pfizer/BioNTech",31265015,10218
"France","2021-06-07","Johnson&Johnson",390399,10219
"France","2021-06-07","Moderna",3765252,10220
"France","2021-06-07","Oxford/AstraZeneca",5600747,10221
"France","2021-06-07","Pfizer/BioNTech",31773979,10222
"France","2021-06-08","Johnson&Johnson",405037,10223
"France","2021-06-08","Moderna",3834686,10224
"France","2021-06-08","Oxford/AstraZeneca",5650049,10225
"France","2021-06-08","Pfizer/BioNTech",32326860,10226
"France","2021-06-09","Johnson&Johnson",417262,10227
"France","2021-06-09","Moderna",3889997,10228
"France","2021-06-09","Oxford/AstraZeneca",5694191,10229
"France","2021-06-09","Pfizer/BioNTech",32877035,10230
"France","2021-06-10","Johnson&Johnson",432689,10231
"France","2021-06-10","Moderna",3951863,10232
"France","2021-06-10","Oxford/AstraZeneca",5764358,10233
"France","2021-06-10","Pfizer/BioNTech",33424190,10234
"France","2021-06-11","Johnson&Johnson",449718,10235
"France","2021-06-11","Moderna",4032502,10236
"France","2021-06-11","Oxford/AstraZeneca",5863556,10237
"France","2021-06-11","Pfizer/BioNTech",33972440,10238
"France","2021-06-12","Johnson&Johnson",457190,10239
"France","2021-06-12","Moderna",4082889,10240
"France","2021-06-12","Oxford/AstraZeneca",5905554,10241
"France","2021-06-12","Pfizer/BioNTech",34367530,10242
"France","2021-06-13","Johnson&Johnson",458100,10243
"France","2021-06-13","Moderna",4095416,10244
"France","2021-06-13","Oxford/AstraZeneca",5909646,10245
"France","2021-06-13","Pfizer/BioNTech",34529017,10246
"France","2021-06-14","Johnson&Johnson",464772,10247
"France","2021-06-14","Moderna",4144966,10248
"France","2021-06-14","Oxford/AstraZeneca",5953332,10249
"France","2021-06-14","Pfizer/BioNTech",35026897,10250
"France","2021-06-15","Johnson&Johnson",475689,10251
"France","2021-06-15","Moderna",4207000,10252
"France","2021-06-15","Oxford/AstraZeneca",6035326,10253
"France","2021-06-15","Pfizer/BioNTech",35567095,10254
"France","2021-06-16","Johnson&Johnson",484608,10255
"France","2021-06-16","Moderna",4258741,10256
"France","2021-06-16","Oxford/AstraZeneca",6102304,10257
"France","2021-06-16","Pfizer/BioNTech",36112443,10258
"France","2021-06-17","Johnson&Johnson",495540,10259
"France","2021-06-17","Moderna",4321661,10260
"France","2021-06-17","Oxford/AstraZeneca",6205775,10261
"France","2021-06-17","Pfizer/BioNTech",36626333,10262
"France","2021-06-18","Johnson&Johnson",508000,10263
"France","2021-06-18","Moderna",4397425,10264
"France","2021-06-18","Oxford/AstraZeneca",6325590,10265
"France","2021-06-18","Pfizer/BioNTech",37183525,10266
"France","2021-06-19","Johnson&Johnson",513591,10267
"France","2021-06-19","Moderna",4446878,10268
"France","2021-06-19","Oxford/AstraZeneca",6365773,10269
"France","2021-06-19","Pfizer/BioNTech",37586781,10270
"France","2021-06-20","Johnson&Johnson",514413,10271
"France","2021-06-20","Moderna",4460690,10272
"France","2021-06-20","Oxford/AstraZeneca",6369316,10273
"France","2021-06-20","Pfizer/BioNTech",37745686,10274
"France","2021-06-21","Johnson&Johnson",519513,10275
"France","2021-06-21","Moderna",4521135,10276
"France","2021-06-21","Oxford/AstraZeneca",6409357,10277
"France","2021-06-21","Pfizer/BioNTech",38238604,10278
"France","2021-06-22","Johnson&Johnson",527447,10279
"France","2021-06-22","Moderna",4599144,10280
"France","2021-06-22","Oxford/AstraZeneca",6480431,10281
"France","2021-06-22","Pfizer/BioNTech",38773186,10282
"France","2021-06-23","Johnson&Johnson",534576,10283
"France","2021-06-23","Moderna",4670592,10284
"France","2021-06-23","Oxford/AstraZeneca",6532222,10285
"France","2021-06-23","Pfizer/BioNTech",39317747,10286
"France","2021-06-24","Johnson&Johnson",543267,10287
"France","2021-06-24","Moderna",4749380,10288
"France","2021-06-24","Oxford/AstraZeneca",6610706,10289
"France","2021-06-24","Pfizer/BioNTech",39804352,10290
"France","2021-06-25","Johnson&Johnson",553480,10291
"France","2021-06-25","Moderna",4843289,10292
"France","2021-06-25","Oxford/AstraZeneca",6702121,10293
"France","2021-06-25","Pfizer/BioNTech",40359782,10294
"France","2021-06-26","Johnson&Johnson",558342,10295
"France","2021-06-26","Moderna",4918960,10296
"France","2021-06-26","Oxford/AstraZeneca",6735896,10297
"France","2021-06-26","Pfizer/BioNTech",40769893,10298
"France","2021-06-27","Johnson&Johnson",559105,10299
"France","2021-06-27","Moderna",4950869,10300
"France","2021-06-27","Oxford/AstraZeneca",6740064,10301
"France","2021-06-27","Pfizer/BioNTech",40945345,10302
"France","2021-06-28","Johnson&Johnson",563940,10303
"France","2021-06-28","Moderna",5017920,10304
"France","2021-06-28","Oxford/AstraZeneca",6771156,10305
"France","2021-06-28","Pfizer/BioNTech",41451105,10306
"France","2021-06-29","Johnson&Johnson",571065,10307
"France","2021-06-29","Moderna",5097821,10308
"France","2021-06-29","Oxford/AstraZeneca",6828259,10309
"France","2021-06-29","Pfizer/BioNTech",41998325,10310
"France","2021-06-30","Johnson&Johnson",577813,10311
"France","2021-06-30","Moderna",5172267,10312
"France","2021-06-30","Oxford/AstraZeneca",6874306,10313
"France","2021-06-30","Pfizer/BioNTech",42558450,10314
"France","2021-07-01","Johnson&Johnson",586040,10315
"France","2021-07-01","Moderna",5252864,10316
"France","2021-07-01","Oxford/AstraZeneca",6941222,10317
"France","2021-07-01","Pfizer/BioNTech",43093702,10318
"France","2021-07-02","Johnson&Johnson",595506,10319
"France","2021-07-02","Moderna",5339238,10320
"France","2021-07-02","Oxford/AstraZeneca",7033054,10321
"France","2021-07-02","Pfizer/BioNTech",43656467,10322
"France","2021-07-03","Johnson&Johnson",600366,10323
"France","2021-07-03","Moderna",5408584,10324
"France","2021-07-03","Oxford/AstraZeneca",7064893,10325
"France","2021-07-03","Pfizer/BioNTech",44061964,10326
"France","2021-07-04","Johnson&Johnson",601057,10327
"France","2021-07-04","Moderna",5433869,10328
"France","2021-07-04","Oxford/AstraZeneca",7069302,10329
"France","2021-07-04","Pfizer/BioNTech",44229795,10330
"France","2021-07-05","Johnson&Johnson",605844,10331
"France","2021-07-05","Moderna",5472510,10332
"France","2021-07-05","Oxford/AstraZeneca",7103867,10333
"France","2021-07-05","Pfizer/BioNTech",44740953,10334
"France","2021-07-06","Johnson&Johnson",613590,10335
"France","2021-07-06","Moderna",5523415,10336
"France","2021-07-06","Oxford/AstraZeneca",7160969,10337
"France","2021-07-06","Pfizer/BioNTech",45298345,10338
"France","2021-07-07","Johnson&Johnson",620691,10339
"France","2021-07-07","Moderna",5571624,10340
"France","2021-07-07","Oxford/AstraZeneca",7204964,10341
"France","2021-07-07","Pfizer/BioNTech",45853025,10342
"France","2021-07-08","Johnson&Johnson",629948,10343
"France","2021-07-08","Moderna",5631786,10344
"France","2021-07-08","Oxford/AstraZeneca",7266894,10345
"France","2021-07-08","Pfizer/BioNTech",46379293,10346
"France","2021-07-09","Johnson&Johnson",640254,10347
"France","2021-07-09","Moderna",5713344,10348
"France","2021-07-09","Oxford/AstraZeneca",7337082,10349
"France","2021-07-09","Pfizer/BioNTech",46958041,10350
"France","2021-07-10","Johnson&Johnson",644905,10351
"France","2021-07-10","Moderna",5760494,10352
"France","2021-07-10","Oxford/AstraZeneca",7362826,10353
"France","2021-07-10","Pfizer/BioNTech",47369814,10354
"France","2021-07-11","Johnson&Johnson",645491,10355
"France","2021-07-11","Moderna",5766656,10356
"France","2021-07-11","Oxford/AstraZeneca",7366260,10357
"France","2021-07-11","Pfizer/BioNTech",47530181,10358
"France","2021-07-12","Johnson&Johnson",651389,10359
"France","2021-07-12","Moderna",5817011,10360
"France","2021-07-12","Oxford/AstraZeneca",7390863,10361
"France","2021-07-12","Pfizer/BioNTech",48098220,10362
"France","2021-07-13","Johnson&Johnson",665647,10363
"France","2021-07-13","Moderna",5907493,10364
"France","2021-07-13","Oxford/AstraZeneca",7427326,10365
"France","2021-07-13","Pfizer/BioNTech",48773565,10366
"France","2021-07-14","Johnson&Johnson",667943,10367
"France","2021-07-14","Moderna",5917682,10368
"France","2021-07-14","Oxford/AstraZeneca",7430227,10369
"France","2021-07-14","Pfizer/BioNTech",49097226,10370
"France","2021-07-15","Johnson&Johnson",686208,10371
"France","2021-07-15","Moderna",6012088,10372
"France","2021-07-15","Oxford/AstraZeneca",7462918,10373
"France","2021-07-15","Pfizer/BioNTech",49803265,10374
"France","2021-07-16","Johnson&Johnson",709097,10375
"France","2021-07-16","Moderna",6132397,10376
"France","2021-07-16","Oxford/AstraZeneca",7504420,10377
"France","2021-07-16","Pfizer/BioNTech",50496422,10378
"France","2021-07-17","Johnson&Johnson",718850,10379
"France","2021-07-17","Moderna",6188015,10380
"France","2021-07-17","Oxford/AstraZeneca",7519244,10381
"France","2021-07-17","Pfizer/BioNTech",50996551,10382
"France","2021-07-18","Johnson&Johnson",720207,10383
"France","2021-07-18","Moderna",6199011,10384
"France","2021-07-18","Oxford/AstraZeneca",7522122,10385
"France","2021-07-18","Pfizer/BioNTech",51206108,10386
"France","2021-07-19","Johnson&Johnson",733210,10387
"France","2021-07-19","Moderna",6260768,10388
"France","2021-07-19","Oxford/AstraZeneca",7540640,10389
"France","2021-07-19","Pfizer/BioNTech",51824987,10390
"France","2021-07-20","Johnson&Johnson",750565,10391
"France","2021-07-20","Moderna",6357473,10392
"France","2021-07-20","Oxford/AstraZeneca",7569708,10393
"France","2021-07-20","Pfizer/BioNTech",52512841,10394
"France","2021-07-21","Johnson&Johnson",766201,10395
"France","2021-07-21","Moderna",6437581,10396
"France","2021-07-21","Oxford/AstraZeneca",7591126,10397
"France","2021-07-21","Pfizer/BioNTech",53200892,10398
"France","2021-07-22","Johnson&Johnson",784483,10399
"France","2021-07-22","Moderna",6535078,10400
"France","2021-07-22","Oxford/AstraZeneca",7620813,10401
"France","2021-07-22","Pfizer/BioNTech",53886202,10402
"France","2021-07-23","Johnson&Johnson",804950,10403
"France","2021-07-23","Moderna",6652605,10404
"France","2021-07-23","Oxford/AstraZeneca",7653600,10405
"France","2021-07-23","Pfizer/BioNTech",54579586,10406
"France","2021-07-24","Johnson&Johnson",814259,10407
"France","2021-07-24","Moderna",6710429,10408
"France","2021-07-24","Oxford/AstraZeneca",7661459,10409
"France","2021-07-24","Pfizer/BioNTech",55060221,10410
"France","2021-07-25","Johnson&Johnson",815611,10411
"France","2021-07-25","Moderna",6719833,10412
"France","2021-07-25","Oxford/AstraZeneca",7663019,10413
"France","2021-07-25","Pfizer/BioNTech",55249227,10414
"France","2021-07-26","Johnson&Johnson",826657,10415
"France","2021-07-26","Moderna",6778677,10416
"France","2021-07-26","Oxford/AstraZeneca",7674685,10417
"France","2021-07-26","Pfizer/BioNTech",55839898,10418
"France","2021-07-27","Johnson&Johnson",841352,10419
"France","2021-07-27","Moderna",6875831,10420
"France","2021-07-27","Oxford/AstraZeneca",7692856,10421
"France","2021-07-27","Pfizer/BioNTech",56495864,10422
"France","2021-07-28","Johnson&Johnson",854297,10423
"France","2021-07-28","Moderna",6957702,10424
"France","2021-07-28","Oxford/AstraZeneca",7706000,10425
"France","2021-07-28","Pfizer/BioNTech",57138929,10426
"France","2021-07-29","Johnson&Johnson",868430,10427
"France","2021-07-29","Moderna",7059113,10428
"France","2021-07-29","Oxford/AstraZeneca",7723029,10429
"France","2021-07-29","Pfizer/BioNTech",57774773,10430
"France","2021-07-30","Johnson&Johnson",883951,10431
"France","2021-07-30","Moderna",7171545,10432
"France","2021-07-30","Oxford/AstraZeneca",7742343,10433
"France","2021-07-30","Pfizer/BioNTech",58394008,10434
"France","2021-07-31","Johnson&Johnson",890786,10435
"France","2021-07-31","Moderna",7222582,10436
"France","2021-07-31","Oxford/AstraZeneca",7746508,10437
"France","2021-07-31","Pfizer/BioNTech",58803256,10438
"France","2021-08-01","Johnson&Johnson",891689,10439
"France","2021-08-01","Moderna",7230285,10440
"France","2021-08-01","Oxford/AstraZeneca",7747103,10441
"France","2021-08-01","Pfizer/BioNTech",58956237,10442
"France","2021-08-02","Johnson&Johnson",899614,10443
"France","2021-08-02","Moderna",7282446,10444
"France","2021-08-02","Oxford/AstraZeneca",7752698,10445
"France","2021-08-02","Pfizer/BioNTech",59467944,10446
"France","2021-08-03","Johnson&Johnson",910435,10447
"France","2021-08-03","Moderna",7366826,10448
"France","2021-08-03","Oxford/AstraZeneca",7760804,10449
"France","2021-08-03","Pfizer/BioNTech",60009851,10450
"France","2021-08-04","Johnson&Johnson",920187,10451
"France","2021-08-04","Moderna",7434430,10452
"France","2021-08-04","Oxford/AstraZeneca",7766159,10453
"France","2021-08-04","Pfizer/BioNTech",60523403,10454
"France","2021-08-05","Johnson&Johnson",930033,10455
"France","2021-08-05","Moderna",7520840,10456
"France","2021-08-05","Oxford/AstraZeneca",7770343,10457
"France","2021-08-05","Pfizer/BioNTech",61019510,10458
"France","2021-08-06","Johnson&Johnson",940244,10459
"France","2021-08-06","Moderna",7621546,10460
"France","2021-08-06","Oxford/AstraZeneca",7775624,10461
"France","2021-08-06","Pfizer/BioNTech",61536479,10462
"France","2021-08-07","Johnson&Johnson",945360,10463
"France","2021-08-07","Moderna",7664367,10464
"France","2021-08-07","Oxford/AstraZeneca",7777774,10465
"France","2021-08-07","Pfizer/BioNTech",61878525,10466
"France","2021-08-08","Johnson&Johnson",946587,10467
"France","2021-08-08","Moderna",7671888,10468
"France","2021-08-08","Oxford/AstraZeneca",7778454,10469
"France","2021-08-08","Pfizer/BioNTech",62006742,10470
"France","2021-08-09","Johnson&Johnson",952949,10471
"France","2021-08-09","Moderna",7722400,10472
"France","2021-08-09","Oxford/AstraZeneca",7781291,10473
"France","2021-08-09","Pfizer/BioNTech",62466808,10474
"France","2021-08-10","Johnson&Johnson",961707,10475
"France","2021-08-10","Moderna",7801056,10476
"France","2021-08-10","Oxford/AstraZeneca",7785552,10477
"France","2021-08-10","Pfizer/BioNTech",62961597,10478
"France","2021-08-11","Johnson&Johnson",969670,10479
"France","2021-08-11","Moderna",7861637,10480
"France","2021-08-11","Oxford/AstraZeneca",7788574,10481
"France","2021-08-11","Pfizer/BioNTech",63431329,10482
"France","2021-08-12","Johnson&Johnson",978280,10483
"France","2021-08-12","Moderna",7939416,10484
"France","2021-08-12","Oxford/AstraZeneca",7791494,10485
"France","2021-08-12","Pfizer/BioNTech",63893643,10486
"France","2021-08-13","Johnson&Johnson",985845,10487
"France","2021-08-13","Moderna",8019249,10488
"France","2021-08-13","Oxford/AstraZeneca",7794054,10489
"France","2021-08-13","Pfizer/BioNTech",64335160,10490
"France","2021-08-14","Johnson&Johnson",989647,10491
"France","2021-08-14","Moderna",8060105,10492
"France","2021-08-14","Oxford/AstraZeneca",7795148,10493
"France","2021-08-14","Pfizer/BioNTech",64632780,10494
"France","2021-08-15","Johnson&Johnson",990421,10495
"France","2021-08-15","Moderna",8067745,10496
"France","2021-08-15","Oxford/AstraZeneca",7795373,10497
"France","2021-08-15","Pfizer/BioNTech",64713750,10498
"France","2021-08-16","Johnson&Johnson",994439,10499
"France","2021-08-16","Moderna",8120142,10500
"France","2021-08-16","Oxford/AstraZeneca",7796596,10501
"France","2021-08-16","Pfizer/BioNTech",65161842,10502
"France","2021-08-17","Johnson&Johnson",1000069,10503
"France","2021-08-17","Moderna",8202081,10504
"France","2021-08-17","Oxford/AstraZeneca",7798297,10505
"France","2021-08-17","Pfizer/BioNTech",65626422,10506
"France","2021-08-18","Johnson&Johnson",1005260,10507
"France","2021-08-18","Moderna",8270895,10508
"France","2021-08-18","Oxford/AstraZeneca",7799879,10509
"France","2021-08-18","Pfizer/BioNTech",66076189,10510
"France","2021-08-19","Johnson&Johnson",1010768,10511
"France","2021-08-19","Moderna",8355137,10512
"France","2021-08-19","Oxford/AstraZeneca",7801479,10513
"France","2021-08-19","Pfizer/BioNTech",66504078,10514
"France","2021-08-20","Johnson&Johnson",1015993,10515
"France","2021-08-20","Moderna",8451556,10516
"France","2021-08-20","Oxford/AstraZeneca",7803293,10517
"France","2021-08-20","Pfizer/BioNTech",66954545,10518
"France","2021-08-21","Johnson&Johnson",1018322,10519
"France","2021-08-21","Moderna",8494086,10520
"France","2021-08-21","Oxford/AstraZeneca",7803974,10521
"France","2021-08-21","Pfizer/BioNTech",67252620,10522
"France","2021-08-22","Johnson&Johnson",1018725,10523
"France","2021-08-22","Moderna",8501335,10524
"France","2021-08-22","Oxford/AstraZeneca",7804203,10525
"France","2021-08-22","Pfizer/BioNTech",67364073,10526
"France","2021-08-23","Johnson&Johnson",1021662,10527
"France","2021-08-23","Moderna",8555862,10528
"France","2021-08-23","Oxford/AstraZeneca",7805285,10529
"France","2021-08-23","Pfizer/BioNTech",67805240,10530
"France","2021-08-24","Johnson&Johnson",1025417,10531
"France","2021-08-24","Moderna",8644059,10532
"France","2021-08-24","Oxford/AstraZeneca",7806381,10533
"France","2021-08-24","Pfizer/BioNTech",68253310,10534
"France","2021-08-25","Johnson&Johnson",1028976,10535
"France","2021-08-25","Moderna",8713665,10536
"France","2021-08-25","Oxford/AstraZeneca",7807364,10537
"France","2021-08-25","Pfizer/BioNTech",68683125,10538
"France","2021-08-26","Johnson&Johnson",1032697,10539
"France","2021-08-26","Moderna",8802185,10540
"France","2021-08-26","Oxford/AstraZeneca",7808418,10541
"France","2021-08-26","Pfizer/BioNTech",69077943,10542
"France","2021-08-27","Johnson&Johnson",1036328,10543
"France","2021-08-27","Moderna",8905236,10544
"France","2021-08-27","Oxford/AstraZeneca",7809564,10545
"France","2021-08-27","Pfizer/BioNTech",69509007,10546
"France","2021-08-28","Johnson&Johnson",1038059,10547
"France","2021-08-28","Moderna",8951816,10548
"France","2021-08-28","Oxford/AstraZeneca",7810036,10549
"France","2021-08-28","Pfizer/BioNTech",69801735,10550
"France","2021-08-29","Johnson&Johnson",1038455,10551
"France","2021-08-29","Moderna",8959557,10552
"France","2021-08-29","Oxford/AstraZeneca",7810297,10553
"France","2021-08-29","Pfizer/BioNTech",69904471,10554
"France","2021-08-30","Johnson&Johnson",1040485,10555
"France","2021-08-30","Moderna",9016102,10556
"France","2021-08-30","Oxford/AstraZeneca",7810994,10557
"France","2021-08-30","Pfizer/BioNTech",70292126,10558
"France","2021-08-31","Johnson&Johnson",1042980,10559
"France","2021-08-31","Moderna",9102568,10560
"France","2021-08-31","Oxford/AstraZeneca",7811844,10561
"France","2021-08-31","Pfizer/BioNTech",70675881,10562
"France","2021-09-01","Johnson&Johnson",1045095,10563
"France","2021-09-01","Moderna",9165294,10564
"France","2021-09-01","Oxford/AstraZeneca",7812445,10565
"France","2021-09-01","Pfizer/BioNTech",71053837,10566
"France","2021-09-02","Johnson&Johnson",1047430,10567
"France","2021-09-02","Moderna",9241329,10568
"France","2021-09-02","Oxford/AstraZeneca",7813201,10569
"France","2021-09-02","Pfizer/BioNTech",71360838,10570
"France","2021-09-03","Johnson&Johnson",1049833,10571
"France","2021-09-03","Moderna",9342193,10572
"France","2021-09-03","Oxford/AstraZeneca",7813922,10573
"France","2021-09-03","Pfizer/BioNTech",71697577,10574
"France","2021-09-04","Johnson&Johnson",1051223,10575
"France","2021-09-04","Moderna",9388155,10576
"France","2021-09-04","Oxford/AstraZeneca",7814275,10577
"France","2021-09-04","Pfizer/BioNTech",71969926,10578
"France","2021-09-05","Johnson&Johnson",1051653,10579
"France","2021-09-05","Moderna",9394286,10580
"France","2021-09-05","Oxford/AstraZeneca",7814399,10581
"France","2021-09-05","Pfizer/BioNTech",72033827,10582
"France","2021-09-06","Johnson&Johnson",1053418,10583
"France","2021-09-06","Moderna",9438818,10584
"France","2021-09-06","Oxford/AstraZeneca",7814917,10585
"France","2021-09-06","Pfizer/BioNTech",72275039,10586
"France","2021-09-07","Johnson&Johnson",1055108,10587
"France","2021-09-07","Moderna",9504009,10588
"France","2021-09-07","Oxford/AstraZeneca",7815531,10589
"France","2021-09-07","Pfizer/BioNTech",72502014,10590
"France","2021-09-08","Johnson&Johnson",1056417,10591
"France","2021-09-08","Moderna",9555904,10592
"France","2021-09-08","Oxford/AstraZeneca",7816020,10593
"France","2021-09-08","Pfizer/BioNTech",72773169,10594
"France","2021-09-09","Johnson&Johnson",1057827,10595
"France","2021-09-09","Moderna",9621750,10596
"France","2021-09-09","Oxford/AstraZeneca",7816518,10597
"France","2021-09-09","Pfizer/BioNTech",72979911,10598
"France","2021-09-10","Johnson&Johnson",1059373,10599
"France","2021-09-10","Moderna",9706344,10600
"France","2021-09-10","Oxford/AstraZeneca",7817047,10601
"France","2021-09-10","Pfizer/BioNTech",73227973,10602
